platform,fiscal_year,quarter,announcement_date,event_session_date,status,release_timing,notes
Grab,2022,1,2022-05-19,2022-05-19,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.
Grab,2022,2,2022-08-25,2022-08-25,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.
Grab,2022,3,2022-11-16,2022-11-16,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.
Grab,2022,4,2023-02-23,2023-02-23,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.
Grab,2023,1,2023-05-18,2023-05-18,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.
Grab,2023,2,2023-08-23,2023-08-23,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.
Grab,2023,3,2023-11-09,2023-11-09,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.
Grab,2023,4,2024-02-22,2024-02-22,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.
Grab,2024,1,2024-05-16,2024-05-16,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.
Grab,2024,2,2024-08-15,2024-08-15,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.
Grab,2024,3,2024-11-12,2024-11-12,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.
Grab,2024,4,2025-02-20,2025-02-20,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.
Grab,2025,1,2025-04-30,2025-04-30,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.
Grab,2025,2,2025-07-31,2025-07-31,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.
Grab,2025,3,2025-11-04,2025-11-04,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.
Grab,2025,4,2026-02-12,2026-02-12,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.
Grab,2026,1,2026-05-05,2026-05-05,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.
Sea,2022,1,2022-05-17,2022-05-17,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.
Sea,2022,2,2022-08-16,2022-08-16,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.
Sea,2022,3,2022-11-15,2022-11-15,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.
Sea,2022,4,2023-03-07,2023-03-07,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.
Sea,2023,4,2024-03-04,2024-03-04,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.
Sea,2024,1,2024-05-14,2024-05-14,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.
Sea,2024,2,2024-08-13,2024-08-13,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.
Sea,2024,3,2024-11-12,2024-11-12,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.
Sea,2024,4,2025-03-04,2025-03-04,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.
Sea,2025,1,2025-05-13,2025-05-13,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.
Sea,2025,2,2025-08-12,2025-08-12,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.
Sea,2025,3,2025-11-11,2025-11-11,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.
Sea,2025,4,2026-03-03,2026-03-03,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.
Sea,2026,1,2026-05-12,2026-05-12,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.
GoTo,2022,2,2022-08-30,2022-08-31,verified/working mapping,after IDX close / first reactive session next day,"First reactive IDX session, not raw publication calendar date."
GoTo,2022,3,2022-11-21,2022-11-22,CANDIDATE/WORKING: announcement date verified; event-session timing inferred pending timestamp proof,"after IDX close (assumed, consistent with other GoTo releases); exact WIB timestamp not independently confirmed","Source: official gotocompany.com press release ""GoTo Reports Third Quarter Financial Results"", dated Nov 21 2022. No guidance revision or concurrent major event found in release text."
