record_id,platform,period,geography_scope,business_scope,evidence_tier,transaction_value,revenue_value,unit,period_match,ratio_status,certified_admission,proposed_empirical_role,source_dataset,source_locator,key_caveat
BL3P-2019,Blibli/GDN,FY2019,issuer/segment scope; geography not explicit Indonesia-only,3P Retail,direct_issuer_segment,29160.785,-219.189,IDR_billion,yes,not_eligible_negative_revenue,candidate_scope_pending,direct_longitudinal_candidate,data/longitudinal/blibli_prospectus_2019_2020_candidates.csv,"Prospectus operating metrics p32/PDF p58; revenue components pp38-39","3P includes online travel; negative net revenue means no positive-denominator ratio"
BL3P-2020,Blibli/GDN,FY2020,issuer/segment scope; geography not explicit Indonesia-only,3P Retail,direct_issuer_segment,13708.846,169.633,IDR_billion,yes,eligible_direct_pair,candidate_scope_pending,direct_longitudinal_candidate,data/longitudinal/blibli_prospectus_2019_2020_candidates.csv,"Prospectus operating metrics p32/PDF p58; revenue components pp38-39","3P includes online travel; prospectus extension is not included in Box first H1 execution"
BL3P-2021,Blibli/GDN,FY2021,issuer/segment scope; geography not explicit Indonesia-only,3P Retail,direct_issuer_segment,15746,122,IDR_billion,yes,eligible_direct_pair,candidate_scope_pending,direct_longitudinal_candidate,data/longitudinal/blibli_reported_pairs_all_vintages.csv,"FY2022 earnings release p2 comparative","3P includes online travel"
BL3P-2022,Blibli/GDN,FY2022,issuer/segment scope; geography not explicit Indonesia-only,3P Retail,direct_issuer_segment,37050,199,IDR_billion,yes,eligible_direct_pair,candidate_scope_pending,direct_longitudinal_candidate,data/longitudinal/blibli_reported_pairs_all_vintages.csv,"FY2022 earnings release p2","3P includes online travel"
BL3P-2023,Blibli/GDN,FY2023,issuer/segment scope; geography not explicit Indonesia-only,3P Retail,direct_issuer_segment,49912,1125,IDR_billion,yes,eligible_direct_pair,candidate_scope_pending,direct_longitudinal_candidate,data/longitudinal/blibli_reported_pairs_all_vintages.csv,"FY2024 earnings release p2; later comparative selected","original FY2023 TPV vintage 49,917; sensitivity is immaterial"
BL3P-2024,Blibli/GDN,FY2024,issuer/segment scope; geography not explicit Indonesia-only,3P Retail,direct_issuer_segment,54210,1384,IDR_billion,yes,eligible_direct_pair,candidate_scope_pending,direct_longitudinal_candidate,data/longitudinal/blibli_reported_pairs_all_vintages.csv,"FY2025 earnings release p2 comparative","3P includes online travel"
BL3P-2025,Blibli/GDN,FY2025,issuer/segment scope; geography not explicit Indonesia-only,3P Retail,direct_issuer_segment,53187,1551,IDR_billion,yes,eligible_direct_pair,candidate_scope_pending,direct_longitudinal_candidate,data/longitudinal/blibli_reported_pairs_all_vintages.csv,"FY2025 earnings release p2","issuer attributes GPBD improvement partly to higher-margin OTA mix"
BUKA-2020,Bukalapak,FY2020,Group; overseas operations disclosed,Group,direct_issuer_group,85081843,1351664,IDR_million,yes,eligible_direct_pair,candidate_geography_pending,direct_support_or_core_if_scope_approved,data/longitudinal/bukalapak_annual_candidates.csv,"Sustainability performance table","Group observation not isolated to Indonesia"
BUKA-2021,Bukalapak,FY2021,Group; overseas operations disclosed,Group,direct_issuer_group,122618794,1869122,IDR_million,yes,eligible_direct_pair,candidate_geography_pending,direct_support_or_core_if_scope_approved,data/longitudinal/bukalapak_annual_candidates.csv,"Sustainability performance table","Group observation not isolated to Indonesia"
BUKA-2022,Bukalapak,FY2022,Group; overseas operations disclosed,Group,direct_issuer_group,153738958,3618366,IDR_million,yes,eligible_direct_pair,candidate_geography_pending,direct_support_or_core_if_scope_approved,data/longitudinal/bukalapak_annual_candidates.csv,"AR/SR 2024 mirror p6 economic performance table","AR2023 identifies operations in Indonesia and four other countries"
BUKA-2023,Bukalapak,FY2023,Group; overseas operations disclosed,Group,direct_issuer_group,164380065,4438269,IDR_million,yes,eligible_direct_pair,candidate_geography_pending,direct_support_or_core_if_scope_approved,data/longitudinal/bukalapak_annual_candidates.csv,"AR/SR 2024 mirror p6 economic performance table","AR2023 identifies operations in Indonesia and four other countries"
TOKO-2022,Tokopedia,FY2022,Indonesia-aligned business segment,e-commerce segment,direct_business_segment,273146166,4030919,IDR_million,yes,eligible_direct_pair,strongest_direct_candidate,direct_longitudinal_candidate,data/longitudinal/indonesia_extension_source_inputs.csv,"FY2023 annual report comparative GTV line 8488; Note 29 net revenue line 30705","direct segment pair; not literal geographic line"
TOKO-2023,Tokopedia,FY2023,Indonesia-aligned business segment,e-commerce segment,direct_business_segment,248836156,6175190,IDR_million,yes,eligible_direct_pair,strongest_direct_candidate,direct_longitudinal_candidate,data/indonesia_fy2023/fy2023_indonesia_source_inputs.csv,"FY2023 annual report operating metrics; Note 29 segment net revenue","direct segment figures; not literal geographic line"
GRAB-2021,Grab,FY2021,Indonesia,country allocation,mixed_direct_derived,1.879732,0.079,USD_billion,yes,computable_rate_dependent,conditional_sensitivity,conditional_country_sensitivity,data/longitudinal/indonesia_extension_source_inputs.csv,"Indonesia revenue 20-F; Group revenue/GMV inputs","country revenue direct; TV derived using Group monetization rate"
GRAB-2022,Grab,FY2022,Indonesia,country allocation,mixed_direct_derived,3.826012,0.275,USD_billion,yes,computable_rate_dependent,conditional_sensitivity,conditional_country_sensitivity,data/longitudinal/indonesia_extension_source_inputs.csv,"Indonesia revenue 20-F; Group revenue/GMV inputs","country revenue direct; TV derived using Group monetization rate"
GRAB-2023,Grab,FY2023,Indonesia,country allocation,mixed_direct_derived,5.381397,0.605,USD_billion,yes,computable_rate_dependent,conditional_sensitivity,conditional_country_sensitivity,data/indonesia_fy2023/fy2023_indonesia_source_inputs.csv,"Indonesia revenue 20-F; Group revenue/GMV inputs","country revenue direct; TV derived using Group monetization rate"
SHOP-2022,Shopee,FY2022,Indonesia,country allocation,external_plus_derived,18.684,1.569456,USD_billion,yes,computable_model_dependent,conditional_sensitivity,conditional_country_sensitivity,data/longitudinal/indonesia_extension_source_inputs.csv,"ERIA/Momentum Works country market and Sea service rate","country GMV external; revenue derived from company-wide service rate"
SHOP-2023,Shopee,FY2023,Indonesia,country allocation,external_plus_derived,21.52,2.152,USD_billion,yes,computable_model_dependent,conditional_sensitivity,conditional_country_sensitivity,data/indonesia_fy2023/fy2023_indonesia_source_inputs.csv,"country market GMV/share estimate and Sea 10.0% rate","country GMV external; revenue derived from company-wide service rate"
SHOP-2024,Shopee,FY2024,Indonesia,country allocation,external_plus_derived,25.99,2.80692,USD_billion,yes,computable_model_dependent,conditional_sensitivity,conditional_country_sensitivity,data/longitudinal/indonesia_extension_source_inputs.csv,"2024 market GMV/share estimate and Sea 10.8% rate","country GMV external; revenue derived from company-wide service rate"
EX-TOKO-2021,Tokopedia,FY2021,Indonesia-aligned business segment,e-commerce segment,direct_values_period_mismatch,230598613,1997222,IDR_million,no,not_eligible_period_mismatch,exclude_period_mismatch,excluded,data/longitudinal/indonesia_extension_source_inputs.csv,"FY2021 pro-forma GTV vs later segment revenue","full-year pro-forma transaction value paired with non-equivalent-period revenue"
EX-BUKA-2024,Bukalapak,FY2024,Group; overseas operations disclosed,Group,direct_values_period_mismatch,124076664,4460266,IDR_million,no,not_eligible_period_mismatch,exclude_period_mismatch,excluded,data/longitudinal/bukalapak_annual_candidates.csv,"AR/SR 2024 performance table and footnote","TPV 9 months vs revenue 12 months"
