platform,fiscal_year,quarter,gmv_or_gtv,matched_revenue,currency,unit,panel_basis,panel_notes,announcement_date,event_session_date,event_timing_status,release_timing,gtv_gmv_source_definition,revenue_source_definition,panel_field_directness,scope_comparability_flag,source_origin,source_relation,source_url,archived_file,archive_status,numeric_fields_reextracted_from_raw_source
GoTo,2022,2,150.537,1.903,IDR,trillions,contemporaneous clean event input,Q2 net revenue precision should be primary-source rechecked before final manuscript lock,2022-08-30,2022-08-31,verified/working mapping,after IDX close / first reactive session next day,reported Group GTV (basis must be read from the individual release),reported Group net revenue (basis must be read from the individual release),reported Group-level fields; exact actual/pro-forma label remains a row-by-row extraction check,2022-2023 pre-deconsolidation Group reporting; geography is Group rather than Indonesia-only,archived_issuer_results_document,issuer_results_release_already_archived,,01_RAW_SOURCES/quarterly_releases/goto_q2_2022_pr.pdf,already_present,YES — see goto_panel_primary_document_reconciliation.csv
GoTo,2022,3,160.941,4.569,IDR,trillions,contemporaneous clean event input,,2022-11-21,2022-11-22,CANDIDATE/WORKING: announcement date verified; event-session timing inferred pending timestamp proof,"after IDX close (assumed, consistent with other GoTo releases); exact WIB timestamp not independently confirmed",reported Group GTV (basis must be read from the individual release),reported Group net revenue (basis must be read from the individual release),reported Group-level fields; exact actual/pro-forma label remains a row-by-row extraction check,2022-2023 pre-deconsolidation Group reporting; geography is Group rather than Indonesia-only,archived_issuer_results_document,issuer_results_release,https://content.goinfra.co.id/asts/Press%20Release%20-%20GoTo%20Group%20Reports%20Third%20Quarter%202022%20Financial%20Results_Bilingual.pdf,01_RAW_SOURCES/quarterly_releases/GOTO_2022Q3_primary_results_release.pdf,already_present,YES — see goto_panel_primary_document_reconciliation.csv
GoTo,2022,4,161.924,3.38,IDR,trillions,contemporaneous clean event input,,2023-03-20,2023-03-21,CANDIDATE/WORKING: announcement date verified; event-session timing inferred pending timestamp proof,after IDX close (assumed); exact WIB timestamp not independently confirmed,reported Group GTV (basis must be read from the individual release),reported Group net revenue (basis must be read from the individual release),reported Group-level fields; exact actual/pro-forma label remains a row-by-row extraction check,2022-2023 pre-deconsolidation Group reporting; geography is Group rather than Indonesia-only,archived_issuer_results_document,issuer_results_presentation,https://content.goinfra.co.id/asts/FINAL_2023.03.20_4Q22%20Earnings%20Presentation%20vSentB.pdf,01_RAW_SOURCES/quarterly_releases/GOTO_2022Q4_primary_presentation.pdf,already_present,YES — see goto_panel_primary_document_reconciliation.csv
GoTo,2023,1,148.538,3.332,IDR,trillions,contemporaneous clean event input,,2023-04-27,2023-04-28,CANDIDATE/WORKING: announcement date verified; event-session timing inferred pending timestamp proof,after IDX close (assumed); exact WIB timestamp not independently confirmed,reported Group GTV (basis must be read from the individual release),reported Group net revenue (basis must be read from the individual release),reported Group-level fields; exact actual/pro-forma label remains a row-by-row extraction check,2022-2023 pre-deconsolidation Group reporting; geography is Group rather than Indonesia-only,archived_issuer_results_document,issuer_results_presentation,https://content.goinfra.co.id/asts/1Q23%20Earnings%20Presentation%20PT%20GoTo%20Gojek%20Tokopedia%20Tbk%20%281%29.pdf,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q1_primary_presentation.pdf,already_present,YES — see goto_panel_primary_document_reconciliation.csv
GoTo,2023,2,143.739,3.552,IDR,trillions,contemporaneous clean event input,,2023-08-15,2023-08-16,CANDIDATE/WORKING: announcement date verified; event-session timing inferred pending timestamp proof,after IDX close (assumed); exact WIB timestamp not independently confirmed,reported Group GTV (basis must be read from the individual release),reported Group net revenue (basis must be read from the individual release),reported Group-level fields; exact actual/pro-forma label remains a row-by-row extraction check,2022-2023 pre-deconsolidation Group reporting; geography is Group rather than Indonesia-only,archived_issuer_results_document,issuer_results_presentation,https://content.goinfra.co.id/asts/2Q23%20Earnings%20Presentation%20PT%20GoTo%20Gojek%20Tokopedia%20Tbk.pdf,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q2_primary_presentation.pdf,already_present,YES — see goto_panel_primary_document_reconciliation.csv
GoTo,2023,3,151.25,3.627,IDR,trillions,contemporaneous clean event input,Contemporaneous GTV; later comparative disclosure restated this to ~151.494,2023-10-30,2023-10-31,verified/working mapping,after IDX close / first reactive session next day,reported Group GTV (basis must be read from the individual release),reported Group net revenue (basis must be read from the individual release),reported Group-level fields; exact actual/pro-forma label remains a row-by-row extraction check,2022-2023 pre-deconsolidation Group reporting; geography is Group rather than Indonesia-only,archived_issuer_results_document,issuer_results_presentation,https://content.goinfra.co.id/asts/3Q23%20Earnings%20Presentation%20PT%20GoTo%20Gojek%20Tokopedia%20Tbk.pdf,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q3_primary_presentation.pdf,already_present,YES — see goto_panel_primary_document_reconciliation.csv
GoTo,2023,4,163.0,4.274,IDR,trillions,contemporaneous clean event input,,2024-03-19,2024-03-20,CANDIDATE/WORKING: announcement date verified; event-session timing inferred pending timestamp proof,after IDX close (assumed); exact WIB timestamp not independently confirmed,reported Group GTV (basis must be read from the individual release),reported Group net revenue (basis must be read from the individual release),reported Group-level fields; exact actual/pro-forma label remains a row-by-row extraction check,2022-2023 pre-deconsolidation Group reporting; geography is Group rather than Indonesia-only,archived_issuer_results_document,issuer_results_presentation,https://content.goinfra.co.id/asts/%5BFinal%5D%202024.03.19_4Q23%20Earnings%20Presentation.pdf,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q4_primary_presentation.pdf,already_present,YES — see goto_panel_primary_document_reconciliation.csv
GoTo,2024,1,116.506,3.078,IDR,trillions,contemporaneous clean event input,Post-Tokopedia deconsolidation structural break; event ratio uses comparable/pro-forma basis,2024-04-29,2024-04-30,verified/working mapping,"~19:00 WIB, after IDX close",reported Group GTV (basis must be read from the individual release),reported Group net revenue (basis must be read from the individual release),reported Group-level fields; exact actual/pro-forma label remains a row-by-row extraction check,2024 rows are post-Tokopedia-deconsolidation and may use disclosed comparable/pro-forma group information; do not pool mechanically with pre-2024 rows,archived_issuer_results_document,issuer_results_presentation,https://content.goinfra.co.id/asts/InvestorRelation/QuarterlyReport/GOTO%201Q24%20Earnings%20Presentation.pdf,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q1_primary_presentation.pdf,already_present,YES — see goto_panel_primary_document_reconciliation.csv
GoTo,2024,2,121.451,3.518,IDR,trillions,contemporaneous clean event input,Post-Tokopedia deconsolidation structural break; comparable/pro-forma basis,2024-07-30,2024-07-31,verified/working mapping,"~19:00 WIB, after IDX close",reported Group GTV (basis must be read from the individual release),reported Group net revenue (basis must be read from the individual release),reported Group-level fields; exact actual/pro-forma label remains a row-by-row extraction check,2024 rows are post-Tokopedia-deconsolidation and may use disclosed comparable/pro-forma group information; do not pool mechanically with pre-2024 rows,archived_issuer_results_document,issuer_results_presentation,https://content.goinfra.co.id/asts/2024-07-30/2Q24%20Earnings%20Presentation%20PT%20GoTo%20Gojek%20Tokopedia%20Tbk.pdf,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q2_primary_presentation.pdf,already_present,YES — see goto_panel_primary_document_reconciliation.csv
GoTo,2024,3,137.363,3.926,IDR,trillions,contemporaneous clean event input,Post-Tokopedia deconsolidation structural break; comparable/pro-forma basis,2024-10-30,2024-10-31,verified/working mapping,after IDX close,reported Group GTV (basis must be read from the individual release),reported Group net revenue (basis must be read from the individual release),reported Group-level fields; exact actual/pro-forma label remains a row-by-row extraction check,2024 rows are post-Tokopedia-deconsolidation and may use disclosed comparable/pro-forma group information; do not pool mechanically with pre-2024 rows,archived_issuer_results_document,issuer_results_presentation,https://content.goinfra.co.id/asts/2024-10-30/3Q24%20Earnings%20Presentation%20PT%20GoTo%20Gojek%20Tokopedia%20Tbk.pdf,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q3_primary_presentation.pdf,already_present,YES — see goto_panel_primary_document_reconciliation.csv
