platform,fiscal_year,quarter,CAR_m1_p1_percent_working,status,notes
Grab,2022,1,24.3,RECONSTRUCTED IN CHAT; MUST RECOMPUTE FROM RAW MARKET DATA BEFORE MANUSCRIPT USE,Included so the prior reconstruction is not lost; this file is not sufficient provenance for final Table 10.
Grab,2022,2,-10.1,RECONSTRUCTED IN CHAT; MUST RECOMPUTE FROM RAW MARKET DATA BEFORE MANUSCRIPT USE,Included so the prior reconstruction is not lost; this file is not sufficient provenance for final Table 10.
Grab,2022,3,9.04,RECONSTRUCTED IN CHAT; MUST RECOMPUTE FROM RAW MARKET DATA BEFORE MANUSCRIPT USE,Included so the prior reconstruction is not lost; this file is not sufficient provenance for final Table 10.
Grab,2022,4,-7.93,RECONSTRUCTED IN CHAT; MUST RECOMPUTE FROM RAW MARKET DATA BEFORE MANUSCRIPT USE,Included so the prior reconstruction is not lost; this file is not sufficient provenance for final Table 10.
Grab,2023,1,-15.04,RECONSTRUCTED IN CHAT; MUST RECOMPUTE FROM RAW MARKET DATA BEFORE MANUSCRIPT USE,Included so the prior reconstruction is not lost; this file is not sufficient provenance for final Table 10.
Grab,2023,2,12.06,RECONSTRUCTED IN CHAT; MUST RECOMPUTE FROM RAW MARKET DATA BEFORE MANUSCRIPT USE,Included so the prior reconstruction is not lost; this file is not sufficient provenance for final Table 10.
Grab,2023,3,1.97,RECONSTRUCTED IN CHAT; MUST RECOMPUTE FROM RAW MARKET DATA BEFORE MANUSCRIPT USE,Included so the prior reconstruction is not lost; this file is not sufficient provenance for final Table 10.
Grab,2023,4,-11.91,RECONSTRUCTED IN CHAT; MUST RECOMPUTE FROM RAW MARKET DATA BEFORE MANUSCRIPT USE,Included so the prior reconstruction is not lost; this file is not sufficient provenance for final Table 10.
Grab,2024,1,3.36,RECONSTRUCTED IN CHAT; MUST RECOMPUTE FROM RAW MARKET DATA BEFORE MANUSCRIPT USE,Included so the prior reconstruction is not lost; this file is not sufficient provenance for final Table 10.
Grab,2024,2,-8.4,RECONSTRUCTED IN CHAT; MUST RECOMPUTE FROM RAW MARKET DATA BEFORE MANUSCRIPT USE,Included so the prior reconstruction is not lost; this file is not sufficient provenance for final Table 10.
