platform,fiscal_year,quarter,gmv_or_gtv,matched_revenue,currency,unit,ecosystem_ratio,previous_calendar_quarter_ratio,ratio_qoq,basis,notes_x,announcement_date,event_session_date,status_x,release_timing,notes_y,guidance_contaminated_working,reason,status_y,stock_ticker,benchmark,ar_m1,ar_0,ar_p1,car_m1_p1,period_num,post_tokopedia_deconsolidation
GoTo,2022,2,150.537,1.903,IDR,trillions,78.105097215,,,contemporaneous clean event input,Q2 net revenue precision should be primary-source rechecked before final manuscript lock,2022-08-30,2022-08-31,verified/working mapping,after IDX close / first reactive session next day,"First reactive IDX session, not raw publication calendar date.",unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,GOTO.JK,JCI,0.008654227440137996,-0.07057136110274997,-0.03618484219832707,-0.09810197586093905,8090,False
GoTo,2022,3,160.941,4.569,IDR,trillions,34.224556796,78.105097215,-0.561814043,contemporaneous clean event input,,2022-11-21,2022-11-22,CANDIDATE/WORKING: announcement date verified; event-session timing inferred pending timestamp proof,"after IDX close (assumed, consistent with other GoTo releases); exact WIB timestamp not independently confirmed","Source: official gotocompany.com press release ""GoTo Reports Third Quarter Financial Results"", dated Nov 21 2022. No guidance revision or concurrent major event found in release text.",no,"Official release (Nov 21 2022) covers Q3 results only; no guidance revision, M&A, capital action, or restructuring disclosed alongside.",RESOLVED (Claude research 2026-08-26),GOTO.JK,JCI,-0.05138057230825266,-0.062042847145363234,-0.028857741530297965,-0.14228116098391386,8091,False
GoTo,2022,4,161.924,3.38,IDR,trillions,46.906508876,34.224556796,0.370551244,contemporaneous clean event input,,2023-03-20,2023-03-21,CANDIDATE/WORKING: announcement date verified; event-session timing inferred pending timestamp proof,after IDX close (assumed); exact WIB timestamp not independently confirmed,"Source: official gotocompany.com press release dated Mar 20 2023. CONTAMINATED: fulfillment/logistics restructuring, Rp11T goodwill impairment, elimination of FY2023 GTV/revenue guidance.",yes,"Same Q4/FY2022 release disclosed a major restructuring of fulfillment and 1P e-commerce delivery under GoTo Logistics, plus material one-off restructuring/impairment items. This independently satisfies the manuscript's 'major concurrent restructuring' criterion.",RESOLVED/REVIEWED 2026-08-26,GOTO.JK,JCI,-0.0591206159839498,0.006553191892032073,0.0348975856885021,-0.017669838403415628,8092,False
GoTo,2023,1,148.538,3.332,IDR,trillions,43.579231693,46.906508876,-0.070934232,contemporaneous clean event input,,2023-04-27,2023-04-28,CANDIDATE/WORKING: announcement date verified; event-session timing inferred pending timestamp proof,after IDX close (assumed); exact WIB timestamp not independently confirmed,"Source: official gotocompany.com press release dated Apr 27 2023. Not contaminated: references prior-quarter restructuring only, no new guidance revision or major concurrent event.",no,Release references prior-quarter (Q4 2022) restructuring only; no new guidance revision or major concurrent event in this release.,RESOLVED (Claude research 2026-08-26),GOTO.JK,JCI,0.03699248071422123,0.05479003053610587,-0.0020364059728481543,0.08974610527747895,8093,False
GoTo,2023,2,143.739,3.552,IDR,trillions,39.467060811,43.579231693,-0.094360793,contemporaneous clean event input,,2023-08-15,2023-08-16,CANDIDATE/WORKING: announcement date verified; event-session timing inferred pending timestamp proof,after IDX close (assumed); exact WIB timestamp not independently confirmed,Source: official gotocompany.com press release dated Aug 15 2023. CONTAMINATED: FY2023 Adjusted EBITDA guidance revised upward; GoPay standalone app launch; Electrum EV factory groundbreaking announced same release.,yes,Same Q2 2023 release explicitly revised FY2023 Group Adjusted EBITDA guidance upward to Rp-4.5T to Rp-3.8T from Rp-5.3T to Rp-4.6T.,RESOLVED/REVIEWED 2026-08-26,GOTO.JK,JCI,0.06522074080874107,-0.039131144432852594,-0.004865324598861465,0.021224271777027015,8094,False
GoTo,2023,3,151.25,3.627,IDR,trillions,40.701130411,39.467060811,0.031268343,contemporaneous clean event input,Contemporaneous GTV; later comparative disclosure restated this to ~151.494,2023-10-30,2023-10-31,verified/working mapping,after IDX close / first reactive session next day,"First reactive IDX session, not raw publication calendar date.",yes,Same Q3 results release announced that GoTo no longer intended to execute the international IPO previously disclosed in its IPO prospectus and approved by shareholders; this is a material capital-markets decision concurrent with earnings.,RESOLVED/REVIEWED 2026-08-26,GOTO.JK,JCI,0.00338830897944864,0.06900590083964442,0.0495936323326196,0.12198784215171266,8095,False
GoTo,2023,4,163.0,4.274,IDR,trillions,37.137576041,40.701130411,-0.087554187,contemporaneous clean event input,,2024-03-19,2024-03-20,CANDIDATE/WORKING: announcement date verified; event-session timing inferred pending timestamp proof,after IDX close (assumed); exact WIB timestamp not independently confirmed,"Source: official gotocompany.com press release dated Mar 19 2024. CONTAMINATED: TikTok-Tokopedia combination announced (TikTok controlling stake, >US$1.5B commitment), US$200M share buyback approved, FY guidance beat disclosed same release.",yes,"Same results release introduced a proposed share-buyback initiative of up to US$200m, subject to approvals. The TikTok-Tokopedia transaction was already public before this earnings date, so it should not be described as newly announced on the event date.",RESOLVED/REVIEWED 2026-08-26,GOTO.JK,JCI,-0.018395256429427853,-0.09645646530618468,0.029783693792445387,-0.08506802794316715,8096,False
GoTo,2024,1,116.506,3.078,IDR,trillions,36.851202079,37.137576041,-0.007711165,contemporaneous clean event input,Post-Tokopedia deconsolidation structural break; event ratio uses comparable/pro-forma basis,2024-04-29,2024-04-30,verified/working mapping,"~19:00 WIB, after IDX close","First reactive IDX session, not raw publication calendar date.",no,Official Q1 release kept the full-year 2024 Group Adjusted EBITDA breakeven target on track; no guidance revision or newly announced M&A/capital raise/restructuring identified in the release.,RESOLVED/REVIEWED 2026-08-26,GOTO.JK,JCI,0.015773283052628928,-0.010957932168892626,0.01614166385713467,0.02095701474087097,8097,True
GoTo,2024,2,121.451,3.518,IDR,trillions,33.522740193,36.851202079,-0.090321664,contemporaneous clean event input,Post-Tokopedia deconsolidation structural break; comparable/pro-forma basis,2024-07-30,2024-07-31,verified/working mapping,"~19:00 WIB, after IDX close","First reactive IDX session, not raw publication calendar date.",unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,GOTO.JK,JCI,0.024971237400599366,-0.03828281600334105,-0.00967819151817717,-0.02298977012091885,8098,True
GoTo,2024,3,137.363,3.926,IDR,trillions,33.988028528,33.522740193,0.013879782,contemporaneous clean event input,Post-Tokopedia deconsolidation structural break; comparable/pro-forma basis,2024-10-30,2024-10-31,verified/working mapping,after IDX close,"First reactive IDX session, not raw publication calendar date.",no,Official Q3 release maintained the full-year 2024 breakeven target. Items mentioned such as cloud contracts and the Vietnam exit were previously announced/recent developments rather than a new same-release guidance revision or capital/M&A/restructuring announcement.,RESOLVED/REVIEWED 2026-08-26,GOTO.JK,JCI,0.019117044910196945,-0.0428042513603476,0.009078694764450668,-0.014608511685699987,8099,True
GoTo,2024,4,144.464,4.231,IDR,trillions,33.144173954,33.988028528,-0.024827994,contemporaneous clean event input,Post-Tokopedia deconsolidation structural break; comparable/pro-forma basis,2025-03-12,2025-03-13,CANDIDATE/WORKING: announcement date verified; event-session timing inferred pending timestamp proof,after IDX close (assumed); exact WIB timestamp not independently confirmed,"Source: official gotocompany.com press release dated Mar 12 2025. CONTAMINATED: new FY2025 Adjusted EBITDA guidance issued same release, alongside ongoing US$200M buyback and treasury-share cancellation disclosures.",candidate,"Official FY2024/Q4 release introduced FY2025 Adjusted EBITDA guidance of Rp1.4-1.6T. That is initial next-year guidance, not clearly a revision. Buyback/cancellation items in the release were updates on previously approved/completed actions. Strict manuscript rule ('revises guidance') suggests NO; broader 'any guidance news' rule suggests YES.",RULE-DEFINITION DECISION REQUIRED,GOTO.JK,JCI,0.019290780045295053,-0.02145155270246124,0.0074794851028864295,0.005318712445720242,8100,True
GoTo,2025,1,144.56,4.231,IDR,trillions,33.166863626,33.144173954,0.000684575,contemporaneous clean event input,,2025-04-29,2025-04-30,verified/working mapping,after IDX close,"First reactive IDX session, not raw publication calendar date.",no,Official Q1 2025 release explicitly reaffirmed FY2025 Adjusted EBITDA guidance of Rp1.4-1.6T; no guidance revision or newly announced major M&A/capital/restructuring event identified.,RESOLVED/REVIEWED 2026-08-26,GOTO.JK,JCI,0.03270175619419624,-0.0026255043912990494,-0.04252576263685415,-0.012449510833956956,8101,True
GoTo,2025,2,152.873,4.328,IDR,trillions,34.321857671,33.166863626,0.034823734,contemporaneous clean event input,,2025-08-13,2025-08-14,verified/working mapping,after IDX close,"First reactive IDX session, not raw publication calendar date.",no,Official Q2 2025 release explicitly reaffirmed FY2025 Adjusted EBITDA guidance of Rp1.4-1.6T; no guidance revision identified. Operational/product announcements do not meet the manuscript's major-event contamination rule.,RESOLVED/REVIEWED 2026-08-26,GOTO.JK,JCI,-0.02837464289223801,-0.0361075035376508,0.004145118677955195,-0.060337027751933614,8102,True
