platform,period,archived_source_file,source_url,panel_gmv_usd_b,source_gmv_usd_b,gmv_reconciliation,gmv_source_wording,gmv_ecommerce_or_shopee_context,panel_revenue_usd_b,source_revenue_usd_b,revenue_reconciliation,revenue_source_wording,revenue_ecommerce_or_shopee_context,scope
Sea,2022Q1,01_RAW_SOURCES/quarterly_releases/SEA_2022Q1_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1703399/000110465922061936/tm2215818d1_ex99-1.htm,17.4,17.4,MATCH,GMV was US$17.4 billion,yes,1.5,1.5,MATCH,GAAP revenue was US$1.5 billion,yes,direct issuer-reported e-commerce/Shopee operating GMV and GAAP revenue; not Indonesia-specific
Sea,2022Q2,01_RAW_SOURCES/quarterly_releases/SEA_2022Q2_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1703399/000110465922091743/tm2223563d1_ex99-1.htm,19.0,19,MATCH,GMV was US$19.0 billion,yes,1.7,1.7,MATCH,GAAP revenue was US$1.7 billion,yes,direct issuer-reported e-commerce/Shopee operating GMV and GAAP revenue; not Indonesia-specific
Sea,2022Q3,01_RAW_SOURCES/quarterly_releases/SEA_2022Q3_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1703399/000110465922119122/tm2230567d1_ex99-1.htm,19.1,19.1,MATCH,GMV was US$19.1 billion,yes,1.9,1.9,MATCH,GAAP revenue was US$1.9 billion,yes,direct issuer-reported e-commerce/Shopee operating GMV and GAAP revenue; not Indonesia-specific
Sea,2022Q4,01_RAW_SOURCES/quarterly_releases/SEA_2022Q4_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1703399/000110465923029545/tm238717d1_ex99-1.htm,18.0,18,MATCH,Gross merchandise value (“GMV”) was US$18.0 billion,yes,2.1,2.1,MATCH,GAAP revenue was US$2.1 billion,yes,direct issuer-reported e-commerce/Shopee operating GMV and GAAP revenue; not Indonesia-specific
Sea,2023Q4,01_RAW_SOURCES/quarterly_releases/SEA_2023Q4_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1703399/000110465924030484/tm247857d1_ex99-1.htm,23.1,23.1,MATCH,GMV was US$23.1 billion,yes,2.6,2.6,MATCH,GAAP revenue was US$2.6 billion,yes,direct issuer-reported e-commerce/Shopee operating GMV and GAAP revenue; not Indonesia-specific
Sea,2024Q1,01_RAW_SOURCES/quarterly_releases/SEA_2024Q1_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1703399/000119312524138204/d838689dex991.htm,23.6,23.6,MATCH,GMV was US$23.6 billion,yes,2.7,2.7,MATCH,GAAP revenue was US$2.7 billion,yes,direct issuer-reported e-commerce/Shopee operating GMV and GAAP revenue; not Indonesia-specific
Sea,2024Q2,01_RAW_SOURCES/quarterly_releases/SEA_2024Q2_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1703399/000110465924088947/tm2421549d1_ex99-1.htm,23.3,23.3,MATCH,GMV was US$23.3 billion,yes,2.8,2.8,MATCH,GAAP revenue was US$2.8 billion,yes,direct issuer-reported e-commerce/Shopee operating GMV and GAAP revenue; not Indonesia-specific
Sea,2024Q3,01_RAW_SOURCES/quarterly_releases/SEA_2024Q3_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1703399/000110465924116768/tm2428140d1_ex99-1.htm,25.1,25.1,MATCH,GMV was US$25.1 billion,yes,3.2,3.2,MATCH,GAAP revenue was US$3.2 billion,yes,direct issuer-reported e-commerce/Shopee operating GMV and GAAP revenue; not Indonesia-specific
Sea,2024Q4,01_RAW_SOURCES/quarterly_releases/SEA_2024Q4_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1703399/000119312525045576/d930776dex991.htm,28.6,28.6,MATCH,GMV was US$28.6 billion,yes,3.7,3.7,MATCH,GAAP revenue was US$3.7 billion,yes,direct issuer-reported e-commerce/Shopee operating GMV and GAAP revenue; not Indonesia-specific
Sea,2025Q1,01_RAW_SOURCES/quarterly_releases/SEA_2025Q1_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1703399/000119312525118807/d80392dex991.htm,28.6,28.6,MATCH,GMV was US$28.6 billion,yes,3.5,3.5,MATCH,GAAP revenue was US$3.5 billion,yes,direct issuer-reported e-commerce/Shopee operating GMV and GAAP revenue; not Indonesia-specific
Sea,2025Q2,01_RAW_SOURCES/quarterly_releases/SEA_2025Q2_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1703399/000119312525178935/d411448dex991.htm,29.8,29.8,MATCH,GMV was US$29.8 billion,yes,3.8,3.8,MATCH,GAAP revenue was US$3.8 billion,yes,direct issuer-reported e-commerce/Shopee operating GMV and GAAP revenue; not Indonesia-specific
Sea,2025Q3,01_RAW_SOURCES/quarterly_releases/SEA_2025Q3_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1703399/000119312525275616/d75589dex991.htm,32.2,32.2,MATCH,GMV was US$32.2 billion,yes,4.3,4.3,MATCH,GAAP revenue was US$4.3 billion,yes,direct issuer-reported e-commerce/Shopee operating GMV and GAAP revenue; not Indonesia-specific
Sea,2025Q4,01_RAW_SOURCES/quarterly_releases/SEA_2025Q4_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1703399/000119312526088151/d106475dex991.htm,36.7,36.7,MATCH,GMV was US$36.7 billion,yes,5.0,5,MATCH,GAAP revenue was US$5.0 billion,yes,direct issuer-reported e-commerce/Shopee operating GMV and GAAP revenue; not Indonesia-specific
Sea,2026Q1,01_RAW_SOURCES/quarterly_releases/SEA_2026Q1_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1703399/000119312526219378/d78490dex991.htm,37.3,37.3,MATCH,GMV was US$37.3 billion,yes,5.1,5.1,MATCH,GAAP revenue was US$5.1 billion,yes,direct issuer-reported e-commerce/Shopee operating GMV and GAAP revenue; not Indonesia-specific
