source_id,platform,scope,period,metric,value,unit,source_url,source_locator,evidence_status,interpretation_note
blibli_ar2023_3p,Blibli/GDN,3P Retail,FY2022,revenue_before_discount_and_direct_promotion,1314,IDR_billion,https://asset-about.blibli.com/2024/05/Laporan-Tahunan-2023-PT-Global-Digital-Niaga-Tbk-.pdf,"Annual Report 2023, PDF p75 / printed p145-146, segment revenue table",direct_issuer_table,"Same report vintage as FY2023 comparator; use only for within-release reconciliation."
blibli_ar2023_3p,Blibli/GDN,3P Retail,FY2022,discount_and_direct_promotion,1115,IDR_billion,https://asset-about.blibli.com/2024/05/Laporan-Tahunan-2023-PT-Global-Digital-Niaga-Tbk-.pdf,"Annual Report 2023, PDF p75 / printed p145-146, segment revenue table",direct_issuer_table,"Presented as a deduction from segment revenues."
blibli_ar2023_3p,Blibli/GDN,3P Retail,FY2022,net_revenue,199,IDR_billion,https://asset-about.blibli.com/2024/05/Laporan-Tahunan-2023-PT-Global-Digital-Niaga-Tbk-.pdf,"Annual Report 2023, PDF p75 / printed p145-146, segment revenue table",direct_issuer_table,"Identity check: 1314 - 1115 = 199."
blibli_ar2023_3p,Blibli/GDN,3P Retail,FY2023,revenue_before_discount_and_direct_promotion,1978,IDR_billion,https://asset-about.blibli.com/2024/05/Laporan-Tahunan-2023-PT-Global-Digital-Niaga-Tbk-.pdf,"Annual Report 2023, PDF p75 / printed p145-146, segment revenue table",direct_issuer_table,"Same report vintage as FY2022 comparator; use only for within-release reconciliation."
blibli_ar2023_3p,Blibli/GDN,3P Retail,FY2023,discount_and_direct_promotion,853,IDR_billion,https://asset-about.blibli.com/2024/05/Laporan-Tahunan-2023-PT-Global-Digital-Niaga-Tbk-.pdf,"Annual Report 2023, PDF p75 / printed p145-146, segment revenue table",direct_issuer_table,"Presented as a deduction from segment revenues."
blibli_ar2023_3p,Blibli/GDN,3P Retail,FY2023,net_revenue,1125,IDR_billion,https://asset-about.blibli.com/2024/05/Laporan-Tahunan-2023-PT-Global-Digital-Niaga-Tbk-.pdf,"Annual Report 2023, PDF p75 / printed p145-146, segment revenue table",direct_issuer_table,"Identity check: 1978 - 853 = 1125."
blibli_fy25_3p,Blibli/GDN,3P Retail,FY2024,tpv,54210,IDR_billion,https://asset-about.blibli.com/2026/03/Earnings-Release-FY25-PT-Global-Digital-Niaga-Tbk-.pdf,"FY2025 earnings release, PDF p2, selected segment metrics",direct_issuer_table,"TPV is paid-and-delivered purchases under issuer definition."
blibli_fy25_3p,Blibli/GDN,3P Retail,FY2024,net_revenue,1384,IDR_billion,https://asset-about.blibli.com/2026/03/Earnings-Release-FY25-PT-Global-Digital-Niaga-Tbk-.pdf,"FY2025 earnings release, PDF p2, selected segment metrics",direct_issuer_table,"3P Retail includes online commerce and OTA."
blibli_fy25_3p,Blibli/GDN,3P Retail,FY2024,gpbd,2499,IDR_billion,https://asset-about.blibli.com/2026/03/Earnings-Release-FY25-PT-Global-Digital-Niaga-Tbk-.pdf,"FY2025 earnings release, PDF p2, selected segment metrics",direct_issuer_table,"Issuer defines GPBD as gross profit earned from direct sales after adding back discount and subsidies; issuer take rate is GPBD/TPV."
blibli_fy25_3p,Blibli/GDN,3P Retail,FY2025,tpv,53187,IDR_billion,https://asset-about.blibli.com/2026/03/Earnings-Release-FY25-PT-Global-Digital-Niaga-Tbk-.pdf,"FY2025 earnings release, PDF p2, selected segment metrics",direct_issuer_table,"TPV declined about 2% y/y in the issuer table."
blibli_fy25_3p,Blibli/GDN,3P Retail,FY2025,net_revenue,1551,IDR_billion,https://asset-about.blibli.com/2026/03/Earnings-Release-FY25-PT-Global-Digital-Niaga-Tbk-.pdf,"FY2025 earnings release, PDF p2-p3, 3P Retail",direct_issuer_table,"Issuer reports 12% y/y growth."
blibli_fy25_3p,Blibli/GDN,3P Retail,FY2025,gpbd,2847,IDR_billion,https://asset-about.blibli.com/2026/03/Earnings-Release-FY25-PT-Global-Digital-Niaga-Tbk-.pdf,"FY2025 earnings release, PDF p2-p3, 3P Retail",direct_issuer_table,"Issuer reports 14% y/y growth and attributes improvement mainly to a shift in OTA toward higher-margin accommodation/experiences plus operating-efficiency measures."
