platform,period,archived_file,gmv_or_gtv_panel_value,gmv_or_gtv_expected_to_print_directly,gmv_or_gtv_token_found,gmv_or_gtv_matched_printed_token,matched_revenue_panel_value,revenue_expected_to_print_directly,revenue_token_found,revenue_matched_printed_token,interpretation
GoTo,2022Q2,01_RAW_SOURCES/quarterly_releases/goto_q2_2022_pr.pdf,150.537,yes,no,,1.903,yes,no,,direct-source token check only; inspect table/metric label before treating this as numeric verification
GoTo,2022Q3,01_RAW_SOURCES/quarterly_releases/GOTO_2022Q3_primary_results_release.pdf,160.941,yes,no,,4.569,yes,no,,direct-source token check only; inspect table/metric label before treating this as numeric verification
GoTo,2022Q4,01_RAW_SOURCES/quarterly_releases/GOTO_2022Q4_primary_presentation.pdf,161.924,yes,no,,3.38,yes,no,,direct-source token check only; inspect table/metric label before treating this as numeric verification
GoTo,2023Q1,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q1_primary_presentation.pdf,148.538,yes,yes,"148,538",3.332,yes,yes,"3,332",direct-source token check only; inspect table/metric label before treating this as numeric verification
GoTo,2023Q2,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q2_primary_presentation.pdf,143.739,yes,yes,"143,739",3.552,yes,yes,"3,552",direct-source token check only; inspect table/metric label before treating this as numeric verification
GoTo,2023Q3,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q3_primary_presentation.pdf,151.25,yes,yes,"151,250",3.627,yes,yes,"3,627",direct-source token check only; inspect table/metric label before treating this as numeric verification
GoTo,2023Q4,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q4_primary_presentation.pdf,163.0,yes,yes,163.0,4.274,yes,yes,"4,274",direct-source token check only; inspect table/metric label before treating this as numeric verification
GoTo,2024Q1,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q1_primary_presentation.pdf,116.506,yes,yes,"116,506",3.078,yes,yes,"3,078",direct-source token check only; inspect table/metric label before treating this as numeric verification
GoTo,2024Q2,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q2_primary_presentation.pdf,121.451,yes,yes,"121,451",3.518,yes,yes,"3,518",direct-source token check only; inspect table/metric label before treating this as numeric verification
GoTo,2024Q3,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q3_primary_presentation.pdf,137.363,yes,yes,"137,363",3.926,yes,yes,"3,926",direct-source token check only; inspect table/metric label before treating this as numeric verification
GoTo,2024Q4,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q4_primary_presentation.pdf,144.464,yes,yes,"144,464",4.231,yes,yes,"4,231",direct-source token check only; inspect table/metric label before treating this as numeric verification
GoTo,2025Q1,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q1_primary_presentation.pdf,144.56,yes,yes,"144,560",4.231,yes,yes,"4,231",direct-source token check only; inspect table/metric label before treating this as numeric verification
GoTo,2025Q2,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q2_primary_presentation.pdf,152.873,yes,yes,"152,873",4.328,yes,yes,"4,328",direct-source token check only; inspect table/metric label before treating this as numeric verification
GoTo,2025Q3,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q3_primary_presentation.pdf,176.484,yes,yes,"176,484",4.736,yes,yes,"4,736",direct-source token check only; inspect table/metric label before treating this as numeric verification
GoTo,2025Q4,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q4_primary_presentation.pdf,211.732,yes,yes,"211,732",5.027,yes,yes,"5,027",direct-source token check only; inspect table/metric label before treating this as numeric verification
GoTo,2026Q1,01_RAW_SOURCES/quarterly_releases/GOTO_2026Q1_primary_presentation.pdf,236.316,yes,yes,"236,316",5.341,yes,yes,"5,341",direct-source token check only; inspect table/metric label before treating this as numeric verification
Grab,2022Q1,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q1_sec_primary_exhibit.html,3396,no — documented segment construction,no,,203,no — documented segment construction,no,,aggregate is not expected to print directly; component-level source extraction is required
Grab,2022Q2,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q2_sec_primary_exhibit.html,3511,no — documented segment construction,no,,295,no — documented segment construction,no,,aggregate is not expected to print directly; component-level source extraction is required
Grab,2022Q3,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q3_sec_primary_exhibit.html,3525,no — documented segment construction,no,,347,no — documented segment construction,no,,aggregate is not expected to print directly; component-level source extraction is required
Grab,2022Q4,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q4_sec_primary_exhibit.html,3499,no — documented segment construction,no,,457,no — documented segment construction,no,,aggregate is not expected to print directly; component-level source extraction is required
Grab,2023Q1,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q1_sec_primary_exhibit.html,3562,no — documented segment construction,no,,469,no — documented segment construction,no,,aggregate is not expected to print directly; component-level source extraction is required
Grab,2023Q2,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q2_sec_primary_exhibit.html,3893,no — documented segment construction,no,,500,no — documented segment construction,yes,500,aggregate is not expected to print directly; component-level source extraction is required
Grab,2023Q3,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q3_sec_primary_exhibit.html,4015,no — documented segment construction,yes,"4,015",537,no — documented segment construction,yes,537,aggregate is not expected to print directly; component-level source extraction is required
Grab,2023Q4,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q4_sec_primary_exhibit.html,4122,no — documented segment construction,yes,"4,122",558,no — documented segment construction,no,,aggregate is not expected to print directly; component-level source extraction is required
Grab,2024Q1,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q1_sec_primary_exhibit.html,4242,yes,yes,"4,242",597,no — documented segment construction,no,,direct-source token check only; inspect table/metric label before treating this as numeric verification
Grab,2024Q2,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q2_sec_primary_exhibit.html,4434,yes,yes,"4,434",603,no — documented segment construction,no,,direct-source token check only; inspect table/metric label before treating this as numeric verification
Grab,2024Q3,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q3_sec_primary_exhibit.html,4659,yes,yes,"4,659",651,no — documented segment construction,no,,direct-source token check only; inspect table/metric label before treating this as numeric verification
Grab,2024Q4,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q4_sec_primary_exhibit.html,5028,yes,yes,"5,028",689,no — documented segment construction,no,,direct-source token check only; inspect table/metric label before treating this as numeric verification
Grab,2025Q1,01_RAW_SOURCES/quarterly_releases/GRAB_2025Q1_sec_primary_exhibit.html,4933,yes,no,,697,no — documented segment construction,no,,direct-source token check only; inspect table/metric label before treating this as numeric verification
Grab,2025Q2,01_RAW_SOURCES/quarterly_releases/GRAB_2025Q2_sec_primary_exhibit.html,5354,yes,yes,"5,354",734,no — documented segment construction,no,,direct-source token check only; inspect table/metric label before treating this as numeric verification
Grab,2025Q3,01_RAW_SOURCES/quarterly_releases/GRAB_2025Q3_sec_primary_exhibit.html,5774,yes,yes,"5,774",782,no — documented segment construction,no,,direct-source token check only; inspect table/metric label before treating this as numeric verification
Grab,2025Q4,01_RAW_SOURCES/quarterly_releases/GRAB_2025Q4_sec_primary_exhibit.html,6078,yes,no,,806,no — documented segment construction,no,,direct-source token check only; inspect table/metric label before treating this as numeric verification
Grab,2026Q1,01_RAW_SOURCES/quarterly_releases/GRAB_2026Q1_sec_primary_exhibit.html,6131,yes,yes,"6,131",847,no — documented segment construction,no,,direct-source token check only; inspect table/metric label before treating this as numeric verification
Sea,2022Q1,01_RAW_SOURCES/quarterly_releases/SEA_2022Q1_sec_primary_exhibit.html,17.4,yes,yes,17.4,1.5,yes,yes,1.5,direct-source token check only; inspect table/metric label before treating this as numeric verification
Sea,2022Q2,01_RAW_SOURCES/quarterly_releases/SEA_2022Q2_sec_primary_exhibit.html,19.0,yes,yes,19.0,1.7,yes,yes,1.7,direct-source token check only; inspect table/metric label before treating this as numeric verification
Sea,2022Q3,01_RAW_SOURCES/quarterly_releases/SEA_2022Q3_sec_primary_exhibit.html,19.1,yes,yes,19.1,1.9,yes,yes,1.9,direct-source token check only; inspect table/metric label before treating this as numeric verification
Sea,2022Q4,01_RAW_SOURCES/quarterly_releases/SEA_2022Q4_sec_primary_exhibit.html,18.0,yes,yes,18.0,2.1,yes,yes,2.1,direct-source token check only; inspect table/metric label before treating this as numeric verification
Sea,2023Q4,01_RAW_SOURCES/quarterly_releases/SEA_2023Q4_sec_primary_exhibit.html,23.1,yes,yes,23.1,2.6,yes,yes,2.6,direct-source token check only; inspect table/metric label before treating this as numeric verification
Sea,2024Q1,01_RAW_SOURCES/quarterly_releases/SEA_2024Q1_sec_primary_exhibit.html,23.6,yes,yes,23.6,2.7,yes,yes,2.7,direct-source token check only; inspect table/metric label before treating this as numeric verification
Sea,2024Q2,01_RAW_SOURCES/quarterly_releases/SEA_2024Q2_sec_primary_exhibit.html,23.3,yes,yes,23.3,2.8,yes,yes,2.8,direct-source token check only; inspect table/metric label before treating this as numeric verification
Sea,2024Q3,01_RAW_SOURCES/quarterly_releases/SEA_2024Q3_sec_primary_exhibit.html,25.1,yes,yes,25.1,3.2,yes,yes,3.2,direct-source token check only; inspect table/metric label before treating this as numeric verification
Sea,2024Q4,01_RAW_SOURCES/quarterly_releases/SEA_2024Q4_sec_primary_exhibit.html,28.6,yes,yes,28.6,3.7,yes,yes,3.7,direct-source token check only; inspect table/metric label before treating this as numeric verification
Sea,2025Q1,01_RAW_SOURCES/quarterly_releases/SEA_2025Q1_sec_primary_exhibit.html,28.6,yes,yes,28.6,3.5,yes,yes,3.5,direct-source token check only; inspect table/metric label before treating this as numeric verification
Sea,2025Q2,01_RAW_SOURCES/quarterly_releases/SEA_2025Q2_sec_primary_exhibit.html,29.8,yes,yes,29.8,3.8,yes,yes,3.8,direct-source token check only; inspect table/metric label before treating this as numeric verification
Sea,2025Q3,01_RAW_SOURCES/quarterly_releases/SEA_2025Q3_sec_primary_exhibit.html,32.2,yes,yes,32.2,4.3,yes,yes,4.3,direct-source token check only; inspect table/metric label before treating this as numeric verification
Sea,2025Q4,01_RAW_SOURCES/quarterly_releases/SEA_2025Q4_sec_primary_exhibit.html,36.7,yes,yes,36.7,5.0,yes,yes,5.0,direct-source token check only; inspect table/metric label before treating this as numeric verification
Sea,2026Q1,01_RAW_SOURCES/quarterly_releases/SEA_2026Q1_sec_primary_exhibit.html,37.3,yes,yes,37.3,5.1,yes,yes,5.1,direct-source token check only; inspect table/metric label before treating this as numeric verification
