issuer,segment,region,year,transaction_metric,transaction_value,revenue_metric,revenue_value,currency,unit,source_url,source_file,source_locator,precision,scope_break,scope_note,transaction_definition,revenue_definition,evidence_class,analytical_role,take_rate_pct,transaction_minus_revenue,ecosystem_ratio,ratio_identity_note
Etsy,Consolidated marketplaces,Global,2019,GMS,4974.944,total_revenue,818.379,USD,million,https://investors.etsy.com/sec-filings/all-sec-filings/content/0001370637-21-000009/exhibit99112312020.htm,sources/global_ecommerce/raw/etsy/etsy_fy2020_results.htm,"Fourth Quarter and Full Year 2020 Financial Summary, 2019 comparative",USD0.001m,no,,"Dollar value of items sold excluding shipping, net of refunds.",Marketplace plus services revenue.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample,16.450014311718885,4156.5650000000005,5.079022066793015,ecosystem_ratio = 1/(take_rate_pct/100)-1; descriptive transformation only
Etsy,Consolidated marketplaces,Global,2020,GMS,10281.101,total_revenue,1725.625,USD,million,https://investors.etsy.com/sec-filings/all-sec-filings/content/0001370637-21-000009/exhibit99112312020.htm,sources/global_ecommerce/raw/etsy/etsy_fy2020_results.htm,Fourth Quarter and Full Year 2020 Financial Summary,USD0.001m,no,,"Dollar value of items sold excluding shipping, net of refunds.",Marketplace plus services revenue.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample,16.784437775681806,8555.476,4.9578998913437164,ecosystem_ratio = 1/(take_rate_pct/100)-1; descriptive transformation only
Etsy,Consolidated marketplaces,Global,2021,GMS,13491.828,total_revenue,2329.114,USD,million,https://investors.etsy.com/news-events/press-releases/detail/64/etsy-inc-reports-fourth-quarter-and-full-year-2021-results,sources/global_ecommerce/raw/etsy/etsy_fy2021_results.html,Full-year financial metrics table,USD0.001m,yes,Depop and Elo7 entered consolidated results from their July 2021 acquisition dates.,"Dollar value of items sold excluding shipping, net of refunds.",Marketplace plus services revenue.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample,17.263146254162148,11162.714,4.792686832847169,ecosystem_ratio = 1/(take_rate_pct/100)-1; descriptive transformation only
Etsy,Consolidated marketplaces,Global,2022,GMS,13318.396,total_revenue,2566.111,USD,million,https://investors.etsy.com/news-events/press-releases/detail/29/etsy-inc-reports-fourth-quarter-and-full-year-2023-results,sources/global_ecommerce/raw/etsy/etsy_fy2023_results.html,"Full-year table, FY2022 comparative",USD0.001m,no,,"Dollar value of items sold excluding shipping, net of refunds.",Marketplace plus services revenue.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample,19.26741778814806,10752.285,4.190109079459151,ecosystem_ratio = 1/(take_rate_pct/100)-1; descriptive transformation only
Etsy,Consolidated marketplaces,Global,2023,GMS,13161.196,total_revenue,2748.377,USD,million,https://investors.etsy.com/news-events/press-releases/detail/29/etsy-inc-reports-fourth-quarter-and-full-year-2023-results,sources/global_ecommerce/raw/etsy/etsy_fy2023_results.html,Full-year financial metrics table,USD0.001m,yes,Elo7 included only through its 10 August 2023 sale date.,"Dollar value of items sold excluding shipping, net of refunds.",Marketplace plus services revenue.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample,20.88242588287569,10412.819,3.788715667464835,ecosystem_ratio = 1/(take_rate_pct/100)-1; descriptive transformation only
Etsy,Consolidated marketplaces,Global,2024,GMS,12586.952,total_revenue,2808.332,USD,million,https://investors.etsy.com/news-events/press-releases/detail/13/etsy-inc-reports-fourth-quarter-and-full-year-2024-results,sources/global_ecommerce/raw/etsy/etsy_fy2024_results.html,Full-year financial metrics table,USD0.001m,no,,"Dollar value of items sold excluding shipping, net of refunds.",Marketplace plus services revenue.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample,22.31145395644633,9778.619999999999,3.4820028401200425,ecosystem_ratio = 1/(take_rate_pct/100)-1; descriptive transformation only
Etsy,Consolidated marketplaces,Global,2025,GMS,11916.9,total_revenue,2883.501,USD,million,https://investors.etsy.com/sec-filings/all-sec-filings/content/0001370637-26-000019/etsy-20251231.htm,sources/global_ecommerce/raw/etsy/etsy_fy2025_10k.htm,10-K performance metrics table,USD0.001m,yes,Reverb was sold on 30 April 2025 and contributes only through the sale date.,"Dollar value of items sold excluding shipping, net of refunds.",Marketplace plus services revenue.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample,24.196737406540294,9033.399,3.132788578883794,ecosystem_ratio = 1/(take_rate_pct/100)-1; descriptive transformation only
Jumia,E-commerce group,Africa,2021,GMV,990.6,total_revenue,177.934,USD,million,https://s205.q4cdn.com/370993272/files/doc_news/2023/02/1/JMIA-Q4-22-ER-16-02-23-vF.pdf,sources/global_ecommerce/raw/jumia/jumia_fy2022_results.pdf,"FY2022 PDF pp.8-9, FY2021 comparative",GMV USD0.1m; revenue USD0.001m,no,,"Orders for products/services including shipping and VAT, before discounts, cancellations and returns.","Marketplace, first-party and other revenue.",direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample,17.962245103977388,812.666,4.567232794182113,ecosystem_ratio = 1/(take_rate_pct/100)-1; descriptive transformation only
Jumia,E-commerce group,Africa,2022,GMV,1047.6,total_revenue,221.882,USD,million,https://s205.q4cdn.com/370993272/files/doc_news/2023/02/1/JMIA-Q4-22-ER-16-02-23-vF.pdf,sources/global_ecommerce/raw/jumia/jumia_fy2022_results.pdf,FY2022 PDF pp.8-9,GMV USD0.1m; revenue USD0.001m,no,,"Orders for products/services including shipping and VAT, before discounts, cancellations and returns.","Marketplace, first-party and other revenue.",direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample,21.18003054600993,825.7179999999998,3.721428507044284,ecosystem_ratio = 1/(take_rate_pct/100)-1; descriptive transformation only
Jumia,E-commerce group,Africa,2023,GMV,749.8,total_revenue,186.402,USD,million,https://investor.jumia.com/files/doc_financials/2024/q4/Jumia-EX-99-1-Q4-2024_v02192025-v4.pdf,sources/global_ecommerce/raw/jumia/jumia_fy2024_results.pdf,FY2024 PDF full-year comparative tables,GMV USD0.1m; revenue USD0.001m,no,,"Orders for products/services including shipping and VAT, before discounts, cancellations and returns.","Marketplace, first-party and other revenue.",direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample,24.8602293945052,563.3979999999999,3.0224890290876703,ecosystem_ratio = 1/(take_rate_pct/100)-1; descriptive transformation only
