record_id,platform,period,geography_scope,business_scope,evidence_tier,transaction_value,revenue_value,unit,period_match,ratio_status,certified_admission,proposed_empirical_role,source_dataset,source_locator,key_caveat
BL3P-2019,Blibli/GDN,FY2019,issuer/segment scope; geography not explicit Indonesia-only,3P Retail,direct_issuer_segment,29160.785,-219.189,IDR_billion,yes,not_eligible_negative_revenue,candidate_scope_pending,direct_longitudinal_candidate,data/longitudinal/blibli_prospectus_2019_2020_candidates.csv,"Prospectus: operating metrics printed p32 / PDF p58; revenue components pp38-39","3P Retail includes online travel; negative net revenue means no positive-denominator ratio"
BL3P-2020,Blibli/GDN,FY2020,issuer/segment scope; geography not explicit Indonesia-only,3P Retail,direct_issuer_segment,13708.846,169.633,IDR_billion,yes,eligible_direct_pair,candidate_scope_pending,direct_longitudinal_candidate,data/longitudinal/blibli_prospectus_2019_2020_candidates.csv,"Prospectus: operating metrics printed p32 / PDF p58; revenue components pp38-39","3P Retail includes online travel; do not equate booked travel with Indonesia goods-marketplace activity"
BL3P-2021,Blibli/GDN,FY2021,issuer/segment scope; geography not explicit Indonesia-only,3P Retail,direct_issuer_segment,15746,122,IDR_billion,yes,eligible_direct_pair,candidate_scope_pending,direct_longitudinal_candidate,data/longitudinal/blibli_reported_pairs_all_vintages.csv,"FY2022 earnings release p2; canonical FY2021 comparative","3P Retail includes online travel; canonical vintage chosen within issuer series"
BL3P-2022,Blibli/GDN,FY2022,issuer/segment scope; geography not explicit Indonesia-only,3P Retail,direct_issuer_segment,37050,199,IDR_billion,yes,eligible_direct_pair,candidate_scope_pending,direct_longitudinal_candidate,data/longitudinal/blibli_reported_pairs_all_vintages.csv,"FY2022 earnings release p2","3P Retail includes online travel"
BL3P-2023,Blibli/GDN,FY2023,issuer/segment scope; geography not explicit Indonesia-only,3P Retail,direct_issuer_segment,49912,1125,IDR_billion,yes,eligible_direct_pair,candidate_scope_pending,direct_longitudinal_candidate,data/longitudinal/blibli_reported_pairs_all_vintages.csv,"FY2024 earnings release p2; later comparative selected","3P Retail includes online travel; earlier FY2023 publication vintage differs slightly and remains lineage only"
BL3P-2024,Blibli/GDN,FY2024,issuer/segment scope; geography not explicit Indonesia-only,3P Retail,direct_issuer_segment,54210,1384,IDR_billion,yes,eligible_direct_pair,candidate_scope_pending,direct_longitudinal_candidate,data/longitudinal/blibli_reported_pairs_all_vintages.csv,"FY2025 earnings release p2; later comparative selected","3P Retail includes online travel; use canonical later comparative consistently"
BL3P-2025,Blibli/GDN,FY2025,issuer/segment scope; geography not explicit Indonesia-only,3P Retail,direct_issuer_segment,53187,1551,IDR_billion,yes,eligible_direct_pair,candidate_scope_pending,direct_longitudinal_candidate,data/longitudinal/blibli_reported_pairs_all_vintages.csv,"FY2025 earnings release p2","3P Retail includes online travel; issuer attributes GPBD improvement partly to higher-margin OTA mix"
BUKA-2020,Bukalapak,FY2020,Group; overseas operations disclosed,Group,direct_issuer_group,85081843,1351664,IDR_million,yes,eligible_direct_pair,candidate_geography_pending,direct_support_or_core_if_scope_approved,data/longitudinal/bukalapak_annual_candidates.csv,"Sustainability performance table","Group observation is not isolated to Indonesia"
BUKA-2021,Bukalapak,FY2021,Group; overseas operations disclosed,Group,direct_issuer_group,122618794,1869122,IDR_million,yes,eligible_direct_pair,candidate_geography_pending,direct_support_or_core_if_scope_approved,data/longitudinal/bukalapak_annual_candidates.csv,"Sustainability performance table","Group observation is not isolated to Indonesia"
BUKA-2022,Bukalapak,FY2022,Group; overseas operations disclosed,Group,direct_issuer_group,153738958,3618366,IDR_million,yes,eligible_direct_pair,candidate_geography_pending,direct_support_or_core_if_scope_approved,data/longitudinal/bukalapak_annual_candidates.csv,"AR/SR 2024 mirror PDF p6 economic performance table","AR2023 identifies operations in Indonesia and four other countries"
