module,files_to_open,observation_count,role,may_enter_fy2023_indonesia_main_sample,main_boundary
FY2023_Indonesia_main,02_SOURCE_EXTRACTS/fy2023_indonesia_source_inputs.csv;05_RESULTS/fy2023_indonesia_main_rebuilt.csv,11_source_inputs__3_platform_observations,Core measurement sample,Yes,"Only Grab, Tokopedia e-commerce segment, and Shopee; all FY2023 Indonesia-focused observations."
Grab_sensitivity,05_RESULTS/fy2023_indonesia_main_sensitivity.csv,5_scenarios,Assumption sensitivity,No,"Scenarios are not observations and are not pooled with the main sample."
Main_assumption_and_composition_checks,05_RESULTS/fy2023_indonesia_main_one_way_sensitivity.csv;05_RESULTS/fy2023_indonesia_leave_one_platform_out.csv,14_one_way_scenarios__3_leave_one_platform_out_checks,Assumption and composition checks,No,"Tests dependence on non-direct Grab and Shopee inputs and on any one platform. Scenario values are explicitly assumptions, not new country observations."
Indonesia_platform_year_extension,02_SOURCE_EXTRACTS/indonesia_extension_source_inputs.csv;05_RESULTS/indonesia_platform_year_extension.csv,24_source_inputs__9_platform_year_observations,Supporting historical extension,No,"Unbalanced and mixed direct/derived classes; used only after the advisor approves the core sample."
Grab_country_revenue_coverage,02_SOURCE_EXTRACTS/grab_country_revenue_coverage_2021_2024.csv,20_direct_country_revenue_observations,Disclosure-coverage evidence,No,"Shows what Grab actually discloses by country. It cannot be used as a country-GTV panel because country GTV is not disclosed."
Historical_company_extracts,01_RAW_SOURCES/extension_indonesia/EDGAR_*;05_RESULTS/historical_within_platform_ratios.csv,41_source_extract_rows__8_annual_ratio_rows,Within-platform historical evidence,No,"Company-level historical data; no Indonesia country claim."
Event_accounting,07_EVENT_AND_MARKET/clean_event_panel_accounting.csv;05_RESULTS/event_accounting_*.csv,47_firm_quarter_observations,Accounting-event extension,No,"Cross-company operating/accounting panel. GoTo structural break and event metadata remain visible."
Quarterly_primary_source_audit,09_QUARTERLY_SOURCE_AUDIT/quarterly_panel_source_coverage.csv;09_QUARTERLY_SOURCE_AUDIT/*_reconciliation.csv,47_mapped_and_source_reconciled_firm_quarter_rows,Source provenance and reconciliation,No,"All 47 accounting-panel rows map to archived primary documents. Grab has two US$1m GTV review differences; Sea matches all 14 fields; GoTo records exact and display-rounding classes and basis notes."
Market_prices,07_EVENT_AND_MARKET/market_daily.csv;07_EVENT_AND_MARKET/market_index_daily.csv;07_EVENT_AND_MARKET/raw_price_downloads,8562_daily_price_observations,Potential investor-return reconstruction,No,"Raw price coverage exists, but CAR results are not active until dates and contamination classifications are closed."
ASEAN_supporting,06_SUPPORTING_ASEAN,49_contextual_observations,Regional context and possible robustness,No,"21 ASEAN policy/context rows plus 28 Indonesia digital-economy/tax rows; definitions and coverage differ from Indonesia platform sample and must never be pooled into first main tables."
Legacy_not_active,08_LEGACY_NOT_ACTIVE,Variable,Preserved lineage only,No,"Not current analytical evidence."
