issuer,decision,reason,role
eBay,admit,Six matched annual marketplace GMV/net-revenue periods; 2020-2021 scope break flagged.,"global corroboration candidate, not Indonesia main sample"
Etsy,admit,Seven matched annual consolidated GMS/revenue periods; portfolio acquisitions and sales flagged.,"global corroboration candidate, not Indonesia main sample"
Shopify,admit,Seven matched annual platform GMV/revenue periods; logistics disposal flagged.,"global corroboration candidate, not Indonesia main sample"
Jumia,admit,Five matched annual group GMV/revenue periods; first-party mix and country exits flagged.,"global corroboration candidate, not Indonesia main sample"
Zalando,admit,Six matched annual GMV/revenue periods using latest available dynamic-GMV vintages.,"global corroboration candidate, not Indonesia main sample"
Rakuten,admit,Three matched Domestic EC periods on one retrospectively adjusted FY2025 basis.,"global corroboration candidate, not Indonesia main sample"
Mercado Libre,admit,Five annual Marketplace GMV/Commerce-revenue periods; principal-agent and food-delivery breaks flagged.,"global corroboration candidate, not Indonesia main sample"
Sea / Shopee,admit,"Nine matched annual Shopee/e-commerce periods, bridging directly to the project history.","global corroboration candidate, not Indonesia main sample"
Amazon,exclude,No continuous issuer-reported marketplace GMV series matched to an equivalent revenue perimeter.,"global corroboration candidate, not Indonesia main sample"
Alibaba,exclude,Historical GMV disclosure is not continuous through the retained end period and revenue scope changed.,"global corroboration candidate, not Indonesia main sample"
PDD Holdings,exclude,No continuous issuer-reported GMV series matched to consolidated revenue.,"global corroboration candidate, not Indonesia main sample"
Coupang,exclude,No continuous issuer-reported GMV series matched to revenue.,"global corroboration candidate, not Indonesia main sample"
Allegro,candidate,Issuer key figures indicate GMV and revenue availability; source-vintage extraction remains pending.,"global corroboration candidate, not Indonesia main sample"
