issue_id,series,period,issue,effect_on_use,next_evidence_needed
BLI-Q424,Blibli Group and 1P and 3P and Institutions,2024Q4,Competing TPV vintages in FY2024 versus FY2025 releases; net revenue agrees,Block canonical quarterly TPV and ratio until a vintage rule or reconciliation is justified,Inspect original tables and issuer restatement or reclassification explanation; retain both values
BLI-FY23-G,Blibli Group,2023FY,Annual TPV 72136 versus quarterly sum 72132 IDR billion; residual 4 exceeds 2.5 rounding screen,Do not force annual and quarterly totals to match,Inspect same-basis annual and quarterly reporting vintages and reclassifications
BLI-FY23-I,Blibli Institutions,2023FY,Annual TPV 10066 versus quarterly sum 10061 IDR billion; residual 5 exceeds 2.5 rounding screen,Do not force annual and quarterly totals to match,Inspect same-basis annual and quarterly reporting vintages and reclassifications
BLI-FY23-V,Blibli 3P,2023FY,Original FY2023 release TPV 49917 versus FY2024 comparative 49912; original release not among the seven reviewed CSV inputs,Selected paper table explicitly uses FY2024 comparative; not an exhaustive vintage reconciliation,Extract and visually check original FY2023 release and document any explanation
BLI-NONPOS,Blibli 3P,2019FY and 2021Q4,Negative annual net revenue and quarter revenue rounded to zero,Preserve amounts but do not interpret a positive-denominator ecosystem ratio,Inspect source precision and incentives recognition; do not set negative revenue to zero
BLI-GEO,Blibli 3P,2019-2025,Segment includes e-commerce and online travel; historical revenue geography does not prove every transaction occurred within Indonesia,No automatic admission as Indonesia-only goods marketplace,Consistent geographic target and evidence for segment composition and acquisitions across years
BUKA-GEO,Bukalapak Group,2020-2023,Overseas activities are disclosed in the source history,Period matching alone does not establish Indonesia-only coverage,Country or segment breakdown consistent with transaction value and revenue
BUKA-PERIOD,Bukalapak Group,2024FY,TPV covers nine months while revenue covers twelve months,Exclude the mismatched annual pair,Recover matching nine-month revenue or a directly supported complete annual pair
TOKO-PERIOD,Tokopedia,2021FY,Full-year pro-forma transaction value paired with post-acquisition revenue,Exclude the mismatched pair,Recover full-year matching revenue on an explicit consistent basis
COUNTRY-PROXY,Grab and Shopee country constructions,Multiple years,Missing country quantities are allocated with company-wide rates,Keep derived status and do not count as independent direct country observations,Country-matched benchmark or explicit acceptance of a conditional construction
BLI-QUARTERS,Blibli 3P,2024Q1-Q3 and 2025Q3,Quarterly coverage remains incomplete in selected extracts,No balanced quarterly panel and no interpolation,Recover source-reported quarter pairs or compatible cumulative pairs with explicit derivation and matching scope
