input_id,platform,period,geography,measure,value,unit,input_status,source_file,source_locator,scope_note
grab_idn_revenue_2021,Grab,FY2021,Indonesia,revenue,79,USD_million,direct_country,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,"FY2023 20-F country-revenue paragraph; HTML line 1002","Direct country revenue."
grab_group_revenue_2021,Grab,FY2021,Group,revenue,675,USD_million,direct_company,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,"FY2023 20-F business overview; HTML line 1263","Group total revenue."
grab_group_gmv_2021,Grab,FY2021,Group,GMV,16061,USD_million,direct_company,01_RAW_SOURCES/extension_indonesia/EDGAR_GRAB_GMV_REVENUE_BY_SEGMENT_ANNUAL_2019_2021.csv,"FY2021 Overall row","Original filing extract; historical total-GMV reporting basis."
grab_idn_revenue_2022,Grab,FY2022,Indonesia,revenue,275,USD_million,direct_country,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,"FY2023 20-F country-revenue paragraph; HTML line 1002","Direct country revenue."
grab_group_revenue_2022,Grab,FY2022,Group,revenue,1433,USD_million,direct_company,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,"FY2023 20-F business overview; HTML line 1263","Group total revenue."
grab_group_gmv_2022,Grab,FY2022,Group,GMV,19937,USD_million,direct_company,01_RAW_SOURCES/main_indonesia/grab_2023_results.htm,"FY2023 results operating-metrics comparative table; HTML line 285","Original FY2023-results comparative total-GMV basis."
grab_idn_revenue_2023,Grab,FY2023,Indonesia,revenue,605,USD_million,direct_country,02_SOURCE_EXTRACTS/fy2023_indonesia_source_inputs.csv,"input_id=grab_idn_revenue","Direct country revenue; duplicated by reference to the main-source extract."
grab_group_revenue_2023,Grab,FY2023,Group,revenue,2359,USD_million,direct_company,02_SOURCE_EXTRACTS/fy2023_indonesia_source_inputs.csv,"input_id=grab_group_revenue","Group total revenue; duplicated by reference to the main-source extract."
grab_group_gmv_2023,Grab,FY2023,Group,GMV,20983,USD_million,direct_company,02_SOURCE_EXTRACTS/fy2023_indonesia_source_inputs.csv,"input_id=grab_group_gmv","Original FY2023 total-GMV basis; duplicated by reference to the main-source extract."
goto_ecom_gtv_2021,Tokopedia_ecommerce_segment,FY2021,Indonesia_aligned_segment,ecommerce_GTV,230598613,IDR_million,direct_business_segment,01_RAW_SOURCES/extension_indonesia/goto_fy2021_annual_report.pdf,"FY2021 annual report, discussion of pro-forma e-commerce GTV; pdftotext lines 6283-6284","Direct e-commerce GTV; no explicit geographic country label."
goto_ecom_net_revenue_2021,Tokopedia_ecommerce_segment,FY2021,Indonesia_aligned_segment,ecommerce_net_revenue,1997222,IDR_million,direct_business_segment,01_RAW_SOURCES/extension_indonesia/goto_fy2022_annual_report.pdf,"Note 29 Segment Operations, third-party net revenue; pdftotext line 32509","FY2022 report comparative; segment reporting version differs from later FY2023 restatement."
goto_ecom_gtv_2022,Tokopedia_ecommerce_segment,FY2022,Indonesia_aligned_segment,ecommerce_GTV,273146166,IDR_million,direct_business_segment,01_RAW_SOURCES/main_indonesia/goto_annual_report_2023.pdf,"FY2023 annual report comparative e-commerce GTV; pdftotext line 8488","Use FY2023 comparative GTV alongside FY2023-restated net segment revenue."
goto_ecom_net_revenue_2022,Tokopedia_ecommerce_segment,FY2022,Indonesia_aligned_segment,ecommerce_net_revenue,4030919,IDR_million,direct_business_segment,01_RAW_SOURCES/main_indonesia/goto_annual_report_2023.pdf,"Note 29 Segment Operations, third-party net revenue; pdftotext line 30705","FY2023-restated comparative net segment revenue."
goto_ecom_gtv_2023,Tokopedia_ecommerce_segment,FY2023,Indonesia_aligned_segment,ecommerce_GTV,248836156,IDR_million,direct_business_segment,02_SOURCE_EXTRACTS/fy2023_indonesia_source_inputs.csv,"input_id=goto_ecom_gtv","Direct segment figure; duplicated by reference to main-source extract."
goto_ecom_net_revenue_2023,Tokopedia_ecommerce_segment,FY2023,Indonesia_aligned_segment,ecommerce_net_revenue,6175190,IDR_million,direct_business_segment,02_SOURCE_EXTRACTS/fy2023_indonesia_source_inputs.csv,"input_id=goto_ecom_net_revenue","Direct net segment figure; duplicated by reference to main-source extract."
shopee_market_total_2022,Shopee,FY2022,Indonesia,ecommerce_market_GMV,51.9,USD_billion,direct_external,01_RAW_SOURCES/extension_indonesia/eria_indonesia_ecommerce_2022.pdf,"Figure 3.4, E-Commerce GMV in Southeast Asia 2022","External country-market estimate that cites Momentum Works."
