firm,fiscal_quarter,announcement_date,announcement_time,timezone,source_url,concurrent_guidance,concurrent_other,retrieved_at_utc,http_status,content_type,saved_file,bytes,sha256,archive_status,error
GOTO,2022Q3,2022-11-21,,,https://www.gotocompany.com/en/news/press/goto-reports-third-quarter-financial-results,Y,"On-Demand contribution margin turned positive in September; AA ESG rating (MSCI, provisional)",2026-09-08T09:47:48.514083+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GOTO_2022Q3.html,132691,6c018eb61db8db91ca4dc9d0209ea04d5ebf028413550d15ef927e3f7e4aa845,retrieved,
GOTO,2022Q4,2023-03-20,,,https://www.gotocompany.com/en/news/press/goto-announces-fourth-straight-quarter-of-improving-adjusted-ebitda-as-it-reports-indicative-2022-fy-and-q4-results,Y,GoTo Logistics established as separate segment (Q1 2023); Pertamina EV partnership HoA; Mitsubishi EV pilot,2026-09-08T09:47:49.567964+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GOTO_2022Q4.html,135515,c52100f7266b6f03d5d0b7029b3ba23fb6b165df1669334412c2adf58b1e7b18,retrieved,
GOTO,2023Q3,2023-10-30,,,https://www.gotocompany.com/en/news/press/goto-group-moves-towards-growth-and-improves-profitability-as-company-reports-2023-third-quarter-results,Y,"Cancelled planned international IPO; cash position Rp25.2T; launched GoPay App, GoPay Tabungan, GoRide Transit",2026-09-08T09:47:50.385016+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q3.html,140578,cf14135e4502cf5ee0633ed48bdecff63fe822332f4e4296db4d95ec892415b2,retrieved,
GOTO,2023Q4,2024-03-19,,,https://www.gotocompany.com/en/news/press/goto-group-turns-adjusted-ebitda-positive-surpassing-full-year-guidance-as-company-reports-2023-fourth-quarter-and-full-year-results,Y,"TikTok/Tokopedia e-commerce combination completed Jan 2024 (TikTok committing >$1.5B, no dilution); $200M share buyback plan; first-ever positive quarterly Adj. EBITDA (Rp77B)",2026-09-08T09:47:51.209593+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q4.html,326274,eae686c8b70543f68b69dfe27de06e0b83f2e515f4459a464c16b30c14ac6b94,retrieved,
GOTO,2024Q1,2024-04-29,,,https://www.gotocompany.com/en/news/press/goto-group-reports-strong-group-gtv-and-revenue-growth-as-company-announces-2024-first-quarter-results,Y,Tokopedia deconsolidated to associate-company basis effective 2024-02-01 (TikTok deal closed Jan 31); GoTo Logistics divestment agreement signed,2026-09-08T09:47:52.178646+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q1.html,247426,38c8f0988da9a259daf1d030aab1bce902fe52937896cc83c18f5661d8de1b37,retrieved,
GOTO,2024Q4,2025-03-12,,,https://www.gotocompany.com/en/news/press/goto-group-beats-guidance-with-record-results-as-it-reports-2024-fourth-quarter-and-full-year-earnings,Y,Fintech segment first-ever positive Adj. EBITDA; ~$91M repurchased YTD; Alibaba/Tencent cloud migration; Sahabat AI launch,2026-09-08T09:47:53.120958+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q4.html,410746,dd9fb809351adc23f6f6e1064718169e317f0ec1fa3157691f3ebc18b3b63018,retrieved,
GOTO,2025Q1,2025-04-29,,,https://www.gotocompany.com/en/news/press/goto-group-achieves-record-profitability-and-strong-growth-as-it-reports-2025-first-quarter-earnings,N,Fintech record Adj. EBITDA Rp47B; On-Demand record Adj. EBITDA Rp314B; $99M of $200M buyback program executed by 2025-03-31; cash Rp21T ($1.3B),2026-09-08T09:47:54.102768+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q1.html,276616,be9716c48c8a925dbdcdd3c14bb8566c50a954bcfbd701928034dd0c5c7eb5cb,retrieved,
GOTO,2025Q2,2025-08-13,,,https://www.gotocompany.com/en/news/press/goto-group-achieves-record-breaking-performance-as-it-reports-2025-second-quarter-earnings,N,Completed Alibaba/Tencent cloud migration (>50% cloud cost cut expected); Sahabat-AI 70B model; new Deputy CEO,2026-09-08T09:47:55.023407+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q2.html,356426,8d053d66e9997c913fd1d860a6815cd823fdbc50d3ed81359463afdcca93695e,retrieved,
GOTO,2025Q3,2025-10-29,,,https://www.gotocompany.com/en/news/press/goto-group-records-first-quarterly-adjusted-pre-tax-profit-and-raises-full-year-guidance-as-it-reports-2025-third-quarter-earnings,Y,First-ever quarterly adjusted pre-tax profit (Rp62B),2026-09-08T09:47:56.029464+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q3.html,320045,35f378de66adbc94f5659f10ec74e33f15831188d3a028a10ed9b8c4868b954f,retrieved,
GOTO,2025Q4,2026-03-11,,,https://www.gotocompany.com/en/news/press/goto-delivers-strongest-year-yet-in-fourth-quarter-of-2025,Y,FY25 GTV Rp685.6T (+32% YoY); FY25 net revenue Rp18.3T ($1.1B); Adj. EBITDA Rp672B (+106% YoY); ATUs 66M,2026-09-08T09:47:56.982124+00:00,404,,,,,not_retrieved,HTTP Error 404: Not Found
GOTO,2026Q1,2026-04-28,,,https://www.gotocompany.com/en/news/press/goto-delivers-net-profit-for-the-first-time-as-it-reports-2026-first-quarter-earnings,N,"First-ever net PROFIT (Rp171B, vs Rp367B net loss prior year); Adj. EBITDA +131% YoY to Rp907B; ATUs 69M; MSCI ESG upgraded to AA",2026-09-08T09:47:57.580117+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GOTO_2026Q1.html,263542,ad54ebe47b745c95a53a699b79af7332b7cad709c0360a49e98ee5b913df6a8d,retrieved,
GRAB,2022Q1,2022-05-19,,,https://investors.grab.com/news-and-events/news-details/2022/Grab-Reports-First-Quarter-2022-Results/default.aspx,N,"GMV +32% YoY, Revenue +6% YoY",2026-09-08T09:47:58.473644+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q1.html,235620,da4cf16eb038f5860fa231cb7604ed47d34d26325d1eaa074eb5c7b6ff503509,retrieved,
