control_id,review_area,status,resolution_already_implemented,evidence_or_control_file,remaining_action
PRC-001,one_year_coverage,resolved_backend,"Longitudinal candidate evidence explicitly spans FY2019-FY2025; FY2023 is labelled only as a common snapshot",docs/PROPOSAL_LONGITUDINAL_AND_TAX_INSERTS_2026-09-11.md,"Carry wording into the final proposal"
PRC-002,period_matching,resolved_backend,"Tokopedia FY2021 and Bukalapak FY2024 are hard-excluded for mismatched transaction and revenue periods",data/longitudinal/advisor_empirical_candidate_table_2026-09-10.csv,"Preserve exclusions in every analysis table"
PRC-003,direct_vs_derived,resolved_backend,"Every candidate is assigned an evidence tier and proposed role",data/longitudinal/advisor_empirical_candidate_table_2026-09-10.csv,"Carry evidence-tier column into proposal table"
PRC-004,grab_derivation,resolved_backend,"FY2021-FY2023 formula inputs and derived country GMV are displayed and source-located",docs/PROPOSAL_REVIEW_COMMENT_RESPONSE_MATRIX_2026-09-11.md,"Final role remains sensitivity unless approved otherwise"
PRC-005,tokopedia_scope,resolved_backend,"GoTo Group is not used as Indonesia; Tokopedia is labelled an Indonesia-aligned e-commerce segment rather than a geographic line",docs/PROPOSAL_REVIEW_COMMENT_RESPONSE_MATRIX_2026-09-11.md,"Advisor must decide whether segment alignment is sufficient"
PRC-006,blibli_scope,advisor_decision,"Online-travel inclusion and geographic limitation are disclosed; no unsupported country relabelling was made",data/longitudinal/advisor_empirical_candidate_table_2026-09-10.csv,"Decide whether to admit Blibli 3P to the main series"
PRC-007,bukalapak_scope,advisor_decision,"Overseas operations are disclosed and records remain geography-pending",data/longitudinal/advisor_empirical_candidate_table_2026-09-10.csv,"Decide whether Bukalapak is core or supporting"
PRC-008,final_main_sample,advisor_decision,"Alternative sample boundaries and counts are reconciled without selecting one silently",docs/ADVISOR_EMPIRICAL_DECISION_SHEET_2026-09-10.md,"Obtain explicit sample-boundary agreement"
PRC-009,observation_counts,resolved_backend,"Direct periods, positive-denominator periods, transitions, conditional records and exclusions are reported separately",docs/EMPIRICAL_CERTIFICATION_RECONCILIATION_2026-09-10.md,"Use the same count vocabulary in the proposal"
PRC-010,annual_quarter_overlap,resolved_backend,"Annual totals quarters cumulative periods segments and vintages are prohibited from being added into one N",docs/METHODOLOGY.md,"Verify every final descriptive-statistics table follows the rule"
PRC-011,gmv_gtv_tpv_definitions,partially_resolved,"Issuer terminology and major definition differences are retained rather than renamed as one universal measure",data/global_ecommerce/global_platform_definition_map.csv,"Complete one compact Indonesia definition table for the final proposal"
PRC-012,revenue_basis,partially_resolved,"Gross revenue incentives and net revenue are separately reconciled where disclosed",docs/EMPIRICAL_FINDINGS_2026-09-10.md,"Select and justify the common main-series revenue basis"
PRC-013,restatements_and_vintages,resolved_backend,"Original and later comparative values are preserved; Blibli FY2023 vintage sensitivity is quantified as non-load-bearing",docs/BLIBLI_VINTAGE_SENSITIVITY_2026-09-10.md,"Apply the same latest-comparable rule to all final rows"
PRC-014,currency_and_fx,partially_resolved,"Native currencies are preserved and World Bank 2023 FX is source-located for cross-platform display",data/indonesia_fy2023/fy2023_indonesia_source_inputs.csv,"Write an explicit historical-FX display policy if multi-currency levels are compared"
PRC-015,market_coverage,resolved_backend,"Market-value coverage is calculated separately from paired-accounting coverage and representativeness",docs/TAX_AND_MARKET_COVERAGE_INTEGRATION_2026-09-11.md,"Carry exact denominator and source year into proposal notes"
PRC-016,lazada_tiktok_missing_revenue,resolved_backend,"Market activity is retained while both platforms are excluded from matched issuer accounting because compatible Indonesia revenue is unavailable",docs/LAZADA_TIKTOK_ADMISSION_FEASIBILITY_2026-09-11.md,"Revisit only if matching primary revenue becomes available"
PRC-017,tax_gap_interpretation,resolved_backend,"Transaction minus platform revenue is explicitly prohibited from being called unpaid tax tax evasion or merchant taxable income",docs/PROPOSAL_LONGITUDINAL_AND_TAX_INSERTS_2026-09-11.md,"Carry claim boundary into abstract methods and conclusion"
PRC-018,merchant_already_taxed,resolved_backend,"PMK 37/2025 is described as a collection-mechanism change rather than a new underlying tax obligation",docs/TAX_AND_MARKET_COVERAGE_INTEGRATION_2026-09-11.md,"Avoid claiming the regulation proves prior underpayment"
PRC-019,tax_implementation_timing,resolved_backend,"Appointment and postponement dates are documented; no post-policy effect is claimed",data/institutional/indonesia_marketplace_reporting_architecture_2025_2026.csv,"Recheck operational status after 31 October 2026"
PRC-020,bps_province_inference,resolved_backend,"Province correlations are treated as ecological diagnostics rather than business-level effects",docs/ADVISOR_EMPIRICAL_DECISION_SHEET_2026-09-10.md,"Use published BPS business-level evidence for participant associations"
PRC-021,bps_causality,resolved_backend,"Marketplace participation and financial statements are described as associated rather than causally linked",docs/HYPOTHESIS_EXTENSION_PARTICIPANT_AND_INSTITUTIONAL_LINKAGE_2026-09-10.md,"Causal extension requires longitudinal linkage or exogenous variation"
PRC-022,bps_crosswave_comparability,partially_resolved,"Marketplace/nonmarketplace value comparison is source-certified; financial-report trend remains guarded",docs/BPS_CROSSWAVE_CERTIFICATION_2026-09-10.md,"Complete questionnaire population and denominator concordance"
PRC-023,asean_pooling,resolved_backend,"Six ASEAN country histories are kept separate and country-specific tax and platform structures are recorded",data/asean_corroboration/asean_corroboration_design_rules.csv,"Use only after the Indonesia core and avoid pooled treatment language"
PRC-024,global_validation_boundary,resolved_backend,"Global issuer evidence is labelled corroboration rather than validation of Indonesian allocations or a representative sample",data/global_ecommerce/global_platform_coverage.csv,"Retain issuer-specific perimeter breaks in all summaries"
PRC-025,accounting_identity,resolved_backend,"The positive level difference is not treated as a statistical discovery; analysis focuses on growth divergence mechanisms and definition sensitivity",docs/EMPIRICAL_FINDINGS_2026-09-10.md,"Keep the identity explanation early in the proposal"
PRC-026,sensitivity_interpretation,resolved_backend,"Scenario ranges are distinguished from confidence intervals and conditional estimates from observations",docs/HYPOTHESES_AND_EMPIRICAL_AGENDA_2026-09-10.md,"Document the empirical basis for each retained range"
PRC-027,reproducibility_chain,partially_resolved,"Core modules retain source locators extracts analysis scripts and outputs",docs/EMPIRICAL_CERTIFICATION_RECONCILIATION_2026-09-10.md,"Complete the final table-and-figure reproduction map after the sample is fixed"
PRC-028,event_study_status,future_data_dependency,"Market prices are preserved but timing contamination and informational-content issues prevent a final investor inference",docs/KNOWN_LIMITATIONS.md,"Keep optional unless the event definition can be closed cleanly"
